编号,0,,,,,,,
域名称,A_QUERYUSER2_LOGINSTATUS,,,,,,,
域说明,,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
TRADEDATE,TY_WAREHOUSEID,,no,no,,,
LOGINTYPE,TY_WAREHOUSEID,,no,no,,,
LOGINCNT,TY_WARRANTAMOUNT,,no,no,,,
TRADECNT,TY_WARRANTAMOUNT,,no,no,,,
,,,,,,,,
,,,,,,,,
编号,1,,,,,,,
域名称,A_TEMP_LOGINRANK,,,,,,,
域说明,登陆率排序临时表,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
TRADEMONTH,TY_WAREHOUSEID,,no,no,,,
COMPANYID,TY_COMPID,,no,no,,,
SHORTNAME,TY_TRSEQ,,no,no,,,
AVGLONGINPER, ,,no,no,,,
,,,,,,,,
,,,,,,,,
编号,2,,,,,,,
域名称,A_TEMP_NOLOGIN,,,,,,,
域说明,权益大但从未登陆临时表,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
COMPANYID,TY_COMPID,,no,no,,,
SHORTNAME,TY_TRSEQ,,no,no,,,
CLIENTID,TY_INVESTACCOUNT,,no,no,,,
CLIENTNAME,TY_PEERACCNAME,,no,no,,,
TELEPHONE,TY_TELEPHONE,,no,no,,,
AVGRIGHTS,TY_SETTLEMENTFUND,,no,no,,,
,,,,,,,,
,,,,,,,,
编号,3,,,,,,,
域名称,B_BANK,,,,,,,
域说明,,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
BANKID,TY_TYPE,,yes,yes,,,
BANKNAME,TY_PEERACCNAME,,no,no,,,
LOCATE,TY_TRADEMODE_DESC,,no,no,,,
ADDRESS,TY_TITLE,,no,no,,,
POSTCODE, ,,no,no,,,
LINKMAN,TY_TRADEMODE_DESC,,no,no,,,
TELEPHONE,TY_TRADEMODE_DESC,,no,no,,,
FILENAMEABBR,TY_COMPID,,no,no,,,
NOTE,TY_TITLE,,no,no,,,
索引名,列名,descend,uniqueness,,,,,
PK_B_BANK,BANKID,ASCUNIQUE,,,,
,,,,,,,,
,,,,,,,,
编号,4,,,,,,,
域名称,B_BULLETIN,,,,,,,
域说明,,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
BULLETINID, ,,no,yes,,,
PUBLISHDATE,TY_UPLOADDATE,,no,no,,,
PUBLISHTIME,TY_UPLOADTIME,,no,no,,,
HEADLINE,TY_TRADEMODE_DESC,,no,no,,,
CONTENT,TY_CONTENT,,no,no,,,
PUBLISHER,TY_TRSEQ,,no,no,,,
VISIBLE,TY_VHFLAG,,no,no,,,
COMPANYID,TY_TRADINGCOMPID,,no,no,,,
COMPANYONLY,TY_VHFLAG,,no,no,,,
,,,,,,,,
,,,,,,,,
编号,5,,,,,,,
域名称,B_BUSSITYPE,,,,,,,
域说明,期货公司从事业务类型表,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
TYPECODE,TY_EXCHANGEID,业务类型代码,no,no,,,
TYPENAME,TY_TRSEQ,业务类型名称,no,no,,,
,,,,,,,,
,,,,,,,,
编号,6,,,,,,,
域名称,B_CLEAR,,,,,,,
域说明,,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
CLEARID,TY_TRADINGCOMPID,,no,yes,,,
CLEARNAME,TY_PEERACCNAME,,no,no,,,
LOCATION,TY_TELEPHONE,,no,no,,,
ADDRESS,TY_TITLE,,no,no,,,
POSTCODE, ,,no,no,,,
LINKMAN,TY_TRADEMODE_DESC,,no,no,,,
TELEPHONE,TY_NAME,,no,no,,,
FILENAMEABBR,TY_COMPID,,no,no,,,
NOTE,TY_TITLE,,no,no,,,
,,,,,,,,
,,,,,,,,
编号,7,,,,,,,
域名称,B_CLIACC,,,,,,,
域说明,,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
BANKID,TY_TYPE,,no,yes,,,
BANKACCOUNT,TY_PEERACCOUNT,,no,yes,,,
CLIENTID,TY_INVESTACCOUNT,,no,yes,,,
OPENDATE,TY_UPLOADDATE,,no,no,,,
CLIENTNAME,TY_PEERACCNAME,,no,no,,,
IDENTITY,TY_TRADEMODE_DESC,,no,no,,,
NOTE,TY_TITLE,,no,no,,,
BANKNAME, ,,no,no,,,
CURRENCY,TY_NATIONALITY,,no,no,,,
ACCOUNTTYPE,TY_FLAG,,no,no,,,
索引名,列名,descend,uniqueness,,,,,
PK_B_CLIACC,BANKID,ASCUNIQUE,,,,
PK_B_CLIACC,BANKACCOUNT,ASCUNIQUE,,,,
PK_B_CLIACC,CLIENTID,ASCUNIQUE,,,,
,,,,,,,,
,,,,,,,,
编号,8,,,,,,,
域名称,B_CLIENT,,,,,,,
域说明,,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
CLIENTID,TY_INVESTACCOUNT,,yes,yes,,,
COMPANYID,TY_TRADINGCOMPID,,no,no,,,
COMPCLIENTID,TY_CLIENTID,,no,no,,,
OPENDATE,TY_UPLOADDATE,,no,no,,,
CLIENTNAME, ,,no,no,,,
IDENTITY,TY_TRADEMODE_DESC,,no,no,,,
LOCATE,TY_TITLE,,no,no,,,
ADDRESS,TY_TITLE,,no,no,,,
POSTCODE,TY_TRSEQ,,no,no,,,
TELEPHONE,TY_TELEPHONE,,no,no,,,
STATUS,TY_VHFLAG,,no,no,,,
CLIENTTYPE,TY_VHFLAG,,no,no,,,
REALOPENDATE,TY_UPLOADDATE,,no,no,,,
ORGANCODE,TY_TRADEMODE_DESC,,no,no,,,
BUSINESSCODE,TY_TELEPHONE,,no,no,,,
DEPUTYNAME,TY_PEERACCNAME,,no,no,,,
DEPUTYIDENTITY,TY_TRADEMODE_DESC,,no,no,,,
索引名,列名,descend,uniqueness,,,,,
PK_B_CLIENT,CLIENTID,ASCUNIQUE,,,,
,,,,,,,,
,,,,,,,,
编号,9,,,,,,,
域名称,B_COMMODITYALL,,,,,,,
域说明,,,,,,,,
备注,来自核对系统,,,,,,,
字段名称,类型名称,字段说明,iskey,notnull,备注,,
CNNAME,TY_SEQ,品种中文名,no,no,,,
COMMODITYCODE,TY_WAREHOUSEID,品种编码,no,no,,,
SHORTNAME,TY_SEQ,品种简称,no,no,,,
STATUS,TY_EXCHANGEID,状态,a有效,d失效,no,no,,,
